Customer_ID,Age,Gender,Country,City,Device_Type,Browser,Session_Duration,Pages_Viewed,Clicked_Ad,Product_Category,Purchase_Amount,Payment_Method,Discount_Applied,Delivery_Time_Days,Return,Customer_Satisfaction,Membership_Level,Loyalty_Points,Referral_Used
CUST1000,56,Male,Canada,London,Mobile,Firefox,28.45,8,1,Home,436.72,Cash on Delivery,1,1,1,5,Gold,15,1
CUST1001,46,Female,UK,Mumbai,Tablet,Safari,1.81,1,0,Books,40.27,Credit Card,1,13,1,1,None,110,1
CUST1002,32,Male,Pakistan,New York,Tablet,Edge,5.81,2,0,Home,427.86,Credit Card,1,3,1,1,None,871,0
CUST1003,60,Other,Canada,Toronto,Tablet,Edge,16.26,18,1,Books,391.91,Cash on Delivery,0,3,0,5,None,712,1
CUST1004,25,Male,India,Lahore,Desktop,Firefox,2.64,15,1,Clothing,56.24,Cash on Delivery,0,11,1,4,Gold,106,0
CUST1005,38,Male,Canada,London,Desktop,Edge,38.25,1,0,Electronics,58.17,Credit Card,1,6,0,3,Platinum,378,1
CUST1006,56,Male,USA,Mumbai,Tablet,Chrome,26.16,5,0,Beauty,55.08,Cash on Delivery,0,8,0,3,Silver,161,0
CUST1007,36,Male,Pakistan,New York,Desktop,Chrome,33.34,2,0,Clothing,10.61,Cash on Delivery,1,3,1,5,Platinum,282,1
CUST1008,40,Other,India,Lahore,Tablet,Edge,11.3,3,0,Electronics,276.57,Debit Card,0,3,1,4,Gold,268,0
CUST1009,28,Other,UK,Mumbai,Desktop,Firefox,18.46,19,1,Clothing,486.83,Cash on Delivery,0,6,0,2,Platinum,483,1
CUST1010,28,Female,India,Mumbai,Mobile,Safari,40.17,18,1,Home,222.15,PayPal,1,8,0,5,Platinum,666,0
CUST1011,41,Other,UK,Lahore,Mobile,Firefox,57.95,18,0,Books,272.67,Debit Card,0,6,0,3,Silver,72,1
CUST1012,53,Other,India,New York,Tablet,Safari,3.97,14,0,Clothing,484.15,PayPal,1,13,0,4,Platinum,196,1
CUST1013,57,Female,Canada,New York,Desktop,Edge,53.53,8,0,Electronics,131.32,Cash on Delivery,0,12,1,1,Platinum,242,1
CUST1014,41,Other,Canada,Toronto,Desktop,Edge,35.04,12,1,Home,429.94,Credit Card,1,14,0,4,Platinum,597,0
CUST1015,20,Male,Canada,London,Mobile,Chrome,34.27,10,0,Beauty,275.46,Debit Card,0,10,1,4,None,798,1
CUST1016,39,Male,USA,Lahore,Mobile,Safari,30.52,17,0,Home,286.89,Credit Card,1,3,1,3,Gold,258,1
CUST1017,19,Female,UK,Lahore,Tablet,Firefox,5.09,11,1,Books,174.87,Debit Card,0,4,1,3,Gold,797,1
CUST1018,41,Female,Canada,Lahore,Mobile,Edge,6.3,2,1,Home,282.98,Credit Card,1,1,0,2,Silver,148,0
CUST1019,61,Female,USA,New York,Tablet,Firefox,36.45,4,0,Beauty,41.21,Debit Card,0,13,0,2,None,866,1
CUST1020,47,Male,UK,London,Mobile,Chrome,21.12,1,0,Electronics,383.5,Debit Card,1,8,1,5,None,389,1
CUST1021,55,Other,India,Toronto,Mobile,Safari,55.12,15,1,Clothing,145.92,PayPal,0,4,1,1,Platinum,987,0
CUST1022,19,Male,USA,Mumbai,Desktop,Safari,24.99,13,0,Books,444.37,Credit Card,1,6,1,2,Gold,415,1
CUST1023,38,Female,Pakistan,Mumbai,Mobile,Edge,9.45,8,0,Beauty,187.09,PayPal,0,11,1,3,Silver,425,0
CUST1024,50,Other,USA,Lahore,Mobile,Safari,43.17,4,1,Books,75.7,PayPal,1,3,0,4,None,996,1
CUST1025,29,Other,USA,London,Tablet,Edge,18.31,10,1,Home,349.46,Credit Card,1,11,1,5,Platinum,701,0
CUST1026,39,Male,UK,New York,Mobile,Chrome,32.0,19,1,Books,86.47,Debit Card,1,12,0,2,Silver,216,0
CUST1027,61,Female,India,London,Tablet,Safari,42.17,18,0,Beauty,378.07,PayPal,1,11,0,4,None,927,0
CUST1028,42,Male,Pakistan,London,Mobile,Edge,54.12,5,1,Clothing,484.22,Credit Card,0,6,0,4,Silver,866,1
CUST1029,44,Other,Canada,New York,Mobile,Firefox,47.74,19,1,Clothing,390.88,Debit Card,0,12,0,2,None,85,1
CUST1030,59,Male,Canada,Lahore,Tablet,Edge,40.91,16,0,Books,16.11,PayPal,0,11,1,1,Silver,215,0
CUST1031,45,Male,USA,London,Desktop,Safari,41.1,1,0,Electronics,301.94,PayPal,1,9,0,1,None,422,1
CUST1032,33,Female,UK,Mumbai,Tablet,Chrome,56.81,12,1,Books,349.23,PayPal,1,9,1,5,None,319,1
CUST1033,32,Female,UK,New York,Tablet,Safari,18.45,2,1,Home,413.6,Debit Card,1,10,0,1,Silver,117,0
CUST1034,64,Other,Canada,Toronto,Tablet,Safari,1.07,8,0,Clothing,32.72,PayPal,1,3,1,5,None,925,0
CUST1035,61,Male,Pakistan,Lahore,Desktop,Edge,17.05,18,0,Clothing,242.65,Debit Card,1,3,1,3,None,958,0
CUST1036,20,Male,India,New York,Mobile,Firefox,13.86,16,1,Clothing,270.01,Cash on Delivery,0,4,1,2,None,881,0
CUST1037,54,Male,Pakistan,Toronto,Tablet,Safari,40.05,5,1,Electronics,88.72,PayPal,0,12,1,4,Silver,991,1
CUST1038,24,Other,India,Toronto,Tablet,Firefox,38.39,13,0,Electronics,164.61,Cash on Delivery,0,7,1,5,Silver,414,1
CUST1039,38,Other,Canada,London,Desktop,Edge,36.01,19,1,Beauty,222.91,Credit Card,1,3,0,1,None,598,1
CUST1040,26,Female,India,London,Tablet,Firefox,1.96,3,0,Books,417.44,PayPal,1,10,1,5,None,39,1
CUST1041,56,Female,UK,London,Mobile,Edge,44.0,8,1,Books,465.06,Credit Card,1,8,0,5,Silver,160,1
CUST1042,35,Female,USA,New York,Desktop,Chrome,20.09,12,0,Home,316.07,Credit Card,1,11,1,1,Platinum,702,1
CUST1043,21,Male,USA,New York,Mobile,Firefox,40.24,2,0,Clothing,200.5,Credit Card,1,8,0,1,None,536,0
CUST1044,42,Male,Canada,Lahore,Mobile,Firefox,33.84,11,1,Electronics,130.75,Cash on Delivery,1,6,0,2,Platinum,419,1
CUST1045,31,Female,UK,London,Desktop,Chrome,21.22,12,1,Home,491.16,Debit Card,1,4,0,4,Silver,663,1
CUST1046,26,Male,Pakistan,Toronto,Tablet,Firefox,8.94,18,0,Home,491.59,Cash on Delivery,0,11,1,2,None,94,1
CUST1047,43,Female,UK,Mumbai,Mobile,Chrome,6.57,13,1,Electronics,462.86,Cash on Delivery,0,12,0,2,Platinum,441,0
CUST1048,19,Other,USA,Lahore,Mobile,Safari,50.06,5,1,Books,393.91,Credit Card,1,11,1,1,Silver,934,0
