Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR
119738,Innovate Industries,Influencer,Women 35-44,60 days,Email,0.08,7089.0,6.34,New York,German,692,8092,2,Tech Enthusiasts,2021-01-18,0.08551655956500247
72273,TechCorp,Influencer,Women 25-34,60 days,Email,0.03,13500.0,2.75,Los Angeles,German,269,8825,4,Foodies,2021-01-03,0.030481586402266288
158155,TechCorp,Email,Women 35-44,45 days,Google Ads,0.07,9687.0,3.72,Houston,Spanish,840,9038,5,Outdoor Adventurers,2021-04-20,0.09294091613188758
65427,Alpha Innovations,Display,All Ages,30 days,Facebook,0.09,8760.0,5.45,Houston,English,616,3303,7,Health & Wellness,2021-04-02,0.1864971238268241
30075,TechCorp,Social Media,Women 25-34,15 days,Google Ads,0.11,18925.0,6.72,Houston,English,538,7364,1,Fashionistas,2021-05-25,0.0730581205866377
23678,Alpha Innovations,Email,Women 35-44,30 days,Website,0.06,17573.0,6.4,Houston,German,220,6313,2,Foodies,2021-11-14,0.03484872485347695
134859,Innovate Industries,Influencer,Women 25-34,60 days,Instagram,0.06,10722.0,4.73,Miami,French,569,9046,1,Outdoor Adventurers,2021-06-23,0.06290072960424498
176419,NexGen Systems,Social Media,Women 35-44,60 days,Google Ads,0.02,14221.0,7.7,Miami,English,935,9389,8,Health & Wellness,2021-05-04,0.09958462030035148
132468,Innovate Industries,Email,Women 35-44,45 days,Email,0.01,11174.0,2.44,Houston,Mandarin,985,4230,2,Fashionistas,2021-12-04,0.23286052009456265
4083,TechCorp,Social Media,Women 25-34,60 days,Facebook,0.15,15909.0,4.23,New York,Spanish,266,6822,1,Fashionistas,2021-03-09,0.038991498094400466
74457,NexGen Systems,Influencer,Men 18-24,45 days,Google Ads,0.1,19442.0,2.21,New York,Spanish,995,7204,6,Health & Wellness,2021-12-28,0.13811771238200998
142134,Alpha Innovations,Display,Men 25-34,30 days,Google Ads,0.08,7456.0,4.36,Chicago,German,721,9670,2,Tech Enthusiasts,2021-05-29,0.07456049638055842
